File,Line,Text
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,4720,// TODO non-isolated groups - according to Rik at adobe non-isolated
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,4734,info('TODO: Support non-isolated groups.');
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,4737,// TODO knockout - supposedly possible with the clever use of compositing
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,5143,// TODO Marked content.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,5146,// TODO Marked content.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,5149,// TODO Marked content.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,5153,// TODO Marked content.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,5156,// TODO Marked content.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,5162,// TODO ignore undefined operators (should we do that anyway?)
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,5165,// TODO stop ignoring undefined operators
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,6116,// TODO other browsers
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,6251,// TODO: This could maybe be made faster by avoiding the btoa of the full
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,6380,// TODO(mack): This dupes some of the logic in CanvasGraphics.setFont()
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.js,6403,"// TODO(mack): Remove this, it's not really that helpful."
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,2388,// TODO(mack): Make use of PDFJS.Util.inherit() when it becomes available
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,2711,// TODO: add async getInheritedPageProp and remove this.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,4410,* TODO: implement all the Dict functions and make this more efficent.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,4534,"* TODO: support the 'URL' file system (with caching if !/V), portable"
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,4925,// TODO(mack): currently only supporting rgb; need support different
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,4941,// TODO: implement proper support for annotations with line dash patterns.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,5074,// TODO(mack): Implement FreeText annotations
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,5326,// TODO: pdf spec mentions urls can be relative to a Base
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,5342,// TODO: pdf reference says that GoToR
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,6570,// TODO it may be worth while to cache the color map. While running
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,10791,// TODO(mack): Not needed?
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,10921,// TODO implement these operators.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,11023,// TODO move promises into translate font
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,11041,// TODO fontCapability.reject?
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,11102,// TODO shall we fail here?
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,11751,// TODO: Loading the built in encoding in the font would allow the
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,12138,// TODO Fill the width array depending on which of the base font this is
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,12606,// TODO(mduan): pass array of knownCommands rather than OP_MAP
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,12687,// TODO figure out how to type-check vararg functions
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,13833,// TODO are /dstName used?
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,16712,// TODO: Try to map ligatures to the correct spot.
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,16914,"// TODO verify all OS/2 tables fields, but currently we validate only those"
B:\LEARNNOV PLATFORM\openedx-platform-master\common\static\js\vendor\pdfjs\pdf.worker.js,16978,// TODO
